trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,8,-74.82506588963012,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.59270718658848,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.151512334186,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.39234798808414,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.50167066078156,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.057767842873393,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.79832273562951,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.02700953005338,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.03695796623938,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-242.83900230279522,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.4521112221356,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.413228484114434,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.06981850027742,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.5160195812956,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.88764759927288,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-212.94945789794602,"{0: 20, 1: 4, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.0609384397623,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.52590240735182,"{0: 15, 1: 2, 2: 8, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.62766277052889,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.04905430036307,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.58822578161069,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.8722568607972,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-219.78509211006946,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.54449040646153,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,20,5.940885467334646,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.97956623941766,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-186.14154882429062,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.26688775617225,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-186.56694445794037,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-98.70412619676289,"{0: 23, 1: 0, 2: 12, 3: 0, 4: 0}",0
